participant_number,netid,sequence,recall,correct_count,total_letters,accuracy,compressibility,pattern_type,rt_seconds,strategy
"17","kr6550","HRCMPZL","HRCMPZL","7","7","1","0","RANDOM","2.251","FIXED 
"
"17","kr6550","ABCDEFG","ABCDEFG","7","7","1","3","RUN","1.645","FIXED 
"
"17","kr6550","HXJKQTV","HXJKQTV","7","7","1","0","RANDOM","4.286","FIXED 
"
"17","kr6550","XBFNQJT","BNFNQJK","4","7","0.5714285714285714","0","RANDOM","5.418","FIXED 
"
"17","kr6550","XYZYZYX","XYZYZYX","7","7","1","3","MIRROR","1.88","FIXED 
"
"17","kr6550","HIJKLMN","HIJKLMN","7","7","1","3","RUN","2.549","FIXED 
"
"17","kr6550","MNOPNM","MNOPNM","6","6","1","0","RANDOM","1.532","FIXED 
"
"17","kr6550","WGLDTXV","WGLDTLV","6","7","0.8571428571428571","0","RANDOM","3.574","FIXED 
"
"17","kr6550","BDFHJLK","BDFHJLK","7","7","1","0","RANDOM","6.232","FIXED 
"
"17","kr6550","MWRQZTA","MWRQTA","4","7","0.5714285714285714","0","RANDOM","3.037","FIXED 
"
"17","kr6550","KVMPZRC","KVMPZRC","7","7","1","0","RANDOM","4.744","FIXED 
"
"17","kr6550","KLMNOPQ","KLMNOP","6","7","0.8571428571428571","3","RUN","1.693","FIXED 
"
"17","kr6550","FNBJQSK","FNBJQNZ","5","7","0.7142857142857143","0","RANDOM","4.182","FIXED 
"
"17","kr6550","CMFGLQT","CMFJQLBT","3","7","0.42857142857142855","0","RANDOM","4.379","FIXED 
"
"17","kr6550","EFEFEFE","EFEFEFE","7","7","1","3","REPEAT","1.708","FIXED 
"
"17","kr6550","CDCDCDC","CDCDCDC","7","7","1","3","REPEAT","1.962","FIXED 
"
"17","kr6550","NJQHZBM","NJQHJZBM","4","7","0.5714285714285714","0","RANDOM","5.047","FIXED 
"
"17","kr6550","ABCDCBA","ABCDCBA","7","7","1","3","MIRROR","3.853","FIXED 
"
"17","kr6550","EEFFGGH","EEFFGGH","7","7","1","2","GROUP","1.779","FIXED 
"
"17","kr6550","DLHGWXS","DLHGWXS","7","7","1","0","RANDOM","2.846","FIXED 
"
"17","kr6550","MMNNOOP","MMNNOOP","7","7","1","2","GROUP","2.078","FIXED 
"
"17","kr6550","QZTRPNL","QZTRPNL","7","7","1","0","RANDOM","2.311","FIXED 
"
"17","kr6550","GHGHGHG","GHGHGHG","7","7","1","3","REPEAT","1.632","FIXED 
"
"17","kr6550","AABBCCD","AABBCCD","7","7","1","2","GROUP","1.961","FIXED 
"
"17","kr6550","ABABABA","ABABABA","7","7","1","3","REPEAT","2.201","FIXED 
"
"17","kr6550","ZPCMKHR","ZPCMKHR","7","7","1","0","RANDOM","2.388","FIXED 
"
"17","kr6550","QQRRSSA","QQRRSSA","7","7","1","2","GROUP","2.623","FIXED 
"
"17","kr6550","CDEFGED","CDEFGED","7","7","1","0","RANDOM","2.381","FIXED 
"
"17","kr6550","RLVTXPW","RLVTXPW","7","7","1","0","RANDOM","2.955","FIXED 
"
"17","kr6550","SPKFDLR","SPKFDLR","7","7","1","0","RANDOM","2.186","FIXED 
"
"17","kr6550","YTQBFNJ","YTQBFNJ","7","7","1","0","RANDOM","4.27","FIXED 
"
"17","kr6550","RSTUVWX","UVWX","0","7","0","3","RUN","1.12","FIXED 
"
