participant_number,netid,sequence,recall,correct_count,total_letters,accuracy,compressibility,pattern_type,rt_seconds
"1","ac3914","DLHGWXS","DLHGWXS","7","7","1","0","RANDOM","6.087"
"1","ac3914","FNBJQSK","FNBJSQJ","4","7","0.5714285714285714","0","RANDOM","6.59"
"1","ac3914","MMNNOOP","MMNNOOP","7","7","1","2","GROUP","4.799"
"1","ac3914","RLVTXPW","RLVTWPV","5","7","0.7142857142857143","0","RANDOM","4.746"
"1","ac3914","KVMPZRC","KPMZNRP","3","7","0.42857142857142855","0","RANDOM","10.012"
"1","ac3914","MWRQZTA","MWRQZTA","7","7","1","0","RANDOM","7.693"
"1","ac3914","HRCMPZL","HRTMLCP","3","7","0.42857142857142855","0","RANDOM","6.873"
"1","ac3914","HXJKQTV","HXJKQTV","7","7","1","0","RANDOM","7.824"
"1","ac3914","YTQBFNJ","YTQBFNJ","7","7","1","0","RANDOM","7.152"
"1","ac3914","ABABABA","ABABABA","7","7","1","3","REPEAT","5.329"
"1","ac3914","QQRRSSA","QQRRSSA","7","7","1","2","GROUP","3.842"
"1","ac3914","RSTUVWX","RSTUVXW","5","7","0.7142857142857143","3","RUN","10.01"
"1","ac3914","QZTRPNL","QXTRVNL","5","7","0.7142857142857143","0","RANDOM","9.693"
"1","ac3914","EEFFGGH","EEFFGGH","7","7","1","2","GROUP","5.295"
"1","ac3914","CDEFGED","CEDFGED","5","7","0.7142857142857143","0","RANDOM","3.976"
"1","ac3914","HIJKLMN","HIJKLMN","7","7","1","3","RUN","4.131"
"1","ac3914","ABCDCBA","ABCDDCBA","4","7","0.5714285714285714","3","MIRROR","7.485"
"1","ac3914","CDCDCDC","CDCDCDC","7","7","1","3","REPEAT","4.18"
"1","ac3914","SPKFDLR","SPRKDRL","3","7","0.42857142857142855","0","RANDOM","7.217"
"1","ac3914","XBFNQJT","XPFNQJT","6","7","0.8571428571428571","0","RANDOM","7.471"
"1","ac3914","EFEFEFE","EFEFEFE","7","7","1","3","REPEAT","4.278"
"1","ac3914","BDFHJLK","BDFXJKF","4","7","0.5714285714285714","0","RANDOM","10.01"
"1","ac3914","KLMNOPQ","KLMNOPQ","7","7","1","3","RUN","10.008"
"1","ac3914","WGLDTXV","WGLDTXV","7","7","1","0","RANDOM","7.274"
"1","ac3914","MNOPNM","NMOPNM","4","6","0.6666666666666666","0","RANDOM","4.532"
"1","ac3914","CMFGLQT","CMFGDJS","4","7","0.5714285714285714","0","RANDOM","8.076"
"1","ac3914","ABCDEFG","ABCDEFG","7","7","1","3","RUN","3.992"
"1","ac3914","ZPCMKHR","ZPCMJHR","6","7","0.8571428571428571","0","RANDOM","10.018"
"1","ac3914","NJQHZBM","NJQHBFM","5","7","0.7142857142857143","0","RANDOM","7.674"
"1","ac3914","XYZYZYX","XYZYZYX","7","7","1","3","MIRROR","6.519"
"1","ac3914","AABBCCD","AABBCCD","7","7","1","2","GROUP","3.033"
"1","ac3914","GHGHGHG","GHGHGHG","7","7","1","3","REPEAT","3.451"
