participant_number,netid,sequence,recall,correct_count,total_letters,accuracy,compressibility,pattern_type,rt_seconds
"1","ad7546","HIJKLMN","HIJKLMN","7","7","1","3","RUN","5.867"
"1","ad7546","HXJKQTV","HIJXQTV","5","7","0.7142857142857143","0","RANDOM","6.207"
"1","ad7546","FNBJQSK","FNBSJK","3","7","0.42857142857142855","0","RANDOM","8.114"
"1","ad7546","HRCMPZL","HRCMPZL","7","7","1","0","RANDOM","4.754"
"1","ad7546","KVMPZRC","KVMNPRZ","4","7","0.5714285714285714","0","RANDOM","7.064"
"1","ad7546","GHGHGHG","GHGHGHG","7","7","1","3","REPEAT","3.033"
"1","ad7546","QZTRPNL","QZTRPNL","7","7","1","0","RANDOM","3.604"
"1","ad7546","RSTUVWX","RSTUVWX","7","7","1","3","RUN","4.414"
"1","ad7546","ZPCMKHR","ZPCMKHR","7","7","1","0","RANDOM","4.358"
"1","ad7546","MWRQZTA","MWRQZTA","7","7","1","0","RANDOM","7.163"
"1","ad7546","YTQBFNJ","YTQBFNJ","7","7","1","0","RANDOM","5.806"
"1","ad7546","BDFHJLK","BDFNJKL","4","7","0.5714285714285714","0","RANDOM","6.282"
"1","ad7546","ABABABA","ABABABA","7","7","1","3","REPEAT","2.259"
"1","ad7546","MNOPNM","MNOPNM","6","6","1","0","RANDOM","3.06"
"1","ad7546","AABBCCD","AABBCCD","7","7","1","2","GROUP","2.672"
"1","ad7546","KLMNOPQ","KLMNOPQ","7","7","1","3","RUN","4.182"
"1","ad7546","ABCDEFG","ABCEDFG","5","7","0.7142857142857143","3","RUN","2.443"
"1","ad7546","RLVTXPW","RLVTXPW","7","7","1","0","RANDOM","5.119"
"1","ad7546","XBFNQJT","XBNQJTP","2","7","0.2857142857142857","0","RANDOM","5.121"
"1","ad7546","WGLDTXV","WDLGQTX","2","7","0.2857142857142857","0","RANDOM","7.33"
"1","ad7546","NJQHZBM","NJQXZBM","6","7","0.8571428571428571","0","RANDOM","4.124"
"1","ad7546","CDCDCDC","CDCDCDC","7","7","1","3","REPEAT","3.256"
"1","ad7546","QQRRSSA","QQRRSSA","7","7","1","2","GROUP","1.943"
"1","ad7546","EFEFEFE","EFEFEFE","7","7","1","3","REPEAT","1.833"
"1","ad7546","EEFFGGH","EEFFGGH","7","7","1","2","GROUP","2.319"
"1","ad7546","DLHGWXS","DLHGWXS","7","7","1","0","RANDOM","4.416"
"1","ad7546","MMNNOOP","MMNNOOP","7","7","1","2","GROUP","3.113"
"1","ad7546","CDEFGED","CDEFGED","7","7","1","0","RANDOM","4.376"
"1","ad7546","CMFGLQT","CMFLQTD","3","7","0.42857142857142855","0","RANDOM","6.497"
"1","ad7546","XYZYZYX","XYZYZYX","7","7","1","3","MIRROR","4.84"
"1","ad7546","SPKFDLR","SPKFDLR","7","7","1","0","RANDOM","3.303"
"1","ad7546","ABCDCBA","ABCDCBA","7","7","1","3","MIRROR","3.536"
