participant_number,netid,sequence,recall,correct_count,total_letters,accuracy,compressibility,pattern_type,rt_seconds
"1","am3156","MWRQZTA","MWRZQTA","5","7","0.7142857142857143","0","RANDOM","5.733"
"1","am3156","CMFGLQT","CMFGLOT","6","7","0.8571428571428571","0","RANDOM","8.196"
"1","am3156","DLHGWXS","DLHSWXS","6","7","0.8571428571428571","0","RANDOM","6.425"
"1","am3156","XYZYZYX","XYZYZYX","7","7","1","3","MIRROR","6.683"
"1","am3156","HRCMPZL","HRMPZL","2","7","0.2857142857142857","0","RANDOM","10.002"
"1","am3156","KLMNOPQ","KMNOPQ","1","7","0.14285714285714285","3","RUN","10.002"
"1","am3156","XBFNQJT","XN","1","7","0.14285714285714285","0","RANDOM","10.002"
"1","am3156","QQRRSSA","QQRRSSA","7","7","1","2","GROUP","3.91"
"1","am3156","RSTUVWX","RSTUVWX","7","7","1","3","RUN","5.078"
"1","am3156","KVMPZRC","KVMPCRZ","5","7","0.7142857142857143","0","RANDOM","5.449"
"1","am3156","QZTRPNL","QZTRPNL","7","7","1","0","RANDOM","6.719"
"1","am3156","SPKFDLR","SPKDLF","3","7","0.42857142857142855","0","RANDOM","10.002"
"1","am3156","RLVTXPW","RLTVXW","3","7","0.42857142857142855","0","RANDOM","4.775"
"1","am3156","GHGHGHG","GHGHGH","6","7","0.8571428571428571","3","REPEAT","7.183"
"1","am3156","ZPCMKHR","ZPCMR","4","7","0.5714285714285714","0","RANDOM","4.113"
"1","am3156","ABCDEFG","ABCDEFG","7","7","1","3","RUN","5.984"
"1","am3156","FNBJQSK","FNBGLR","3","7","0.42857142857142855","0","RANDOM","6.243"
"1","am3156","YTQBFNJ","YTQNBJ","3","7","0.42857142857142855","0","RANDOM","9.715"
"1","am3156","NJQHZBM","NJQHZMB","5","7","0.7142857142857143","0","RANDOM","4.184"
"1","am3156","EEFFGGH","EEFFGGH","7","7","1","2","GROUP","3.457"
"1","am3156","ABCDCBA","ABCDCBA","7","7","1","3","MIRROR","4.078"
"1","am3156","AABBCCD","AABBCCD","7","7","1","2","GROUP","2.181"
"1","am3156","MMNNOOP","MMNNOOP","7","7","1","2","GROUP","3.383"
"1","am3156","HIJKLMN","HIJKLMN","7","7","1","3","RUN","3.181"
"1","am3156","CDEFGED","CDEFGED","7","7","1","0","RANDOM","3.694"
"1","am3156","EFEFEFE","EFEFEFE","7","7","1","3","REPEAT","5.206"
"1","am3156","ABABABA","ABBABA","2","7","0.2857142857142857","3","REPEAT","2.977"
"1","am3156","HXJKQTV","HXJKTV","4","7","0.5714285714285714","0","RANDOM","4.625"
"1","am3156","BDFHJLK","BDHJK","2","7","0.2857142857142857","0","RANDOM","2.857"
"1","am3156","CDCDCDC","CDCDCDC","7","7","1","3","REPEAT","2.835"
"1","am3156","MNOPNM","MNOPMN","4","6","0.6666666666666666","0","RANDOM","2.428"
"1","am3156","WGLDTXV","WGLDTXW","6","7","0.8571428571428571","0","RANDOM","3.282"
