participant_number,netid,sequence,recall,correct_count,total_letters,accuracy,compressibility,pattern_type,rt_seconds,strategy
"1","co8802","RLVTXPW","RLVTXPW","7","7","1","0","RANDOM","5.988","I tried to recite them and recognize any patterns "
"1","co8802","HIJKLMN","HIJKLMN","7","7","1","3","RUN","5.748","I tried to recite them and recognize any patterns "
"1","co8802","ABABABA","ABABABA","7","7","1","3","REPEAT","8.428","I tried to recite them and recognize any patterns "
"1","co8802","MMNNOOP","MMNNOOP","7","7","1","2","GROUP","6.194","I tried to recite them and recognize any patterns "
"1","co8802","MNOPNM","MNOPNM","6","6","1","0","RANDOM","5.282","I tried to recite them and recognize any patterns "
"1","co8802","NJQHZBM","NJQHZBM","7","7","1","0","RANDOM","7.892","I tried to recite them and recognize any patterns "
"1","co8802","KLMNOPQ","KLMNOPQ","7","7","1","3","RUN","5.449","I tried to recite them and recognize any patterns "
"1","co8802","HXJKQTV","HJX","1","7","0.14285714285714285","0","RANDOM","4.385","I tried to recite them and recognize any patterns "
"1","co8802","MWRQZTA","MWRQRZA","5","7","0.7142857142857143","0","RANDOM","5.728","I tried to recite them and recognize any patterns "
"1","co8802","CMFGLQT","CMFL","3","7","0.42857142857142855","0","RANDOM","6.082","I tried to recite them and recognize any patterns "
"1","co8802","EEFFGGH","EEFFGGH","7","7","1","2","GROUP","5.545","I tried to recite them and recognize any patterns "
"1","co8802","AABBCCD","AABBCCD","7","7","1","2","GROUP","5.35","I tried to recite them and recognize any patterns "
"1","co8802","GHGHGHG","GHGHGHG","7","7","1","3","REPEAT","5.995","I tried to recite them and recognize any patterns "
"1","co8802","QQRRSSA","QQRRSSA","7","7","1","2","GROUP","6.175","I tried to recite them and recognize any patterns "
"1","co8802","HRCMPZL","H…","1","7","0.14285714285714285","0","RANDOM","4.682","I tried to recite them and recognize any patterns "
"1","co8802","FNBJQSK","FNB","3","7","0.42857142857142855","0","RANDOM","3.717","I tried to recite them and recognize any patterns "
"1","co8802","XBFNQJT","XBFNQJ..","6","7","0.8571428571428571","0","RANDOM","9.129","I tried to recite them and recognize any patterns "
"1","co8802","WGLDTXV","WGLD..","4","7","0.5714285714285714","0","RANDOM","5.466","I tried to recite them and recognize any patterns "
"1","co8802","ABCDEFG","ABCDEFG","7","7","1","3","RUN","5.963","I tried to recite them and recognize any patterns "
"1","co8802","RSTUVWX","RSTUWVX","5","7","0.7142857142857143","3","RUN","6.21","I tried to recite them and recognize any patterns "
"1","co8802","ABCDCBA","ABCDBCA","5","7","0.7142857142857143","3","MIRROR","5.498","I tried to recite them and recognize any patterns "
"1","co8802","SPKFDLR","SFK..","2","7","0.2857142857142857","0","RANDOM","7.046","I tried to recite them and recognize any patterns "
"1","co8802","CDEFGED","CDE..","3","7","0.42857142857142855","0","RANDOM","6.997","I tried to recite them and recognize any patterns "
"1","co8802","KVMPZRC","KVMPZRC","7","7","1","0","RANDOM","6.73","I tried to recite them and recognize any patterns "
"1","co8802","CDCDCDC","CDCDCDC","7","7","1","3","REPEAT","6.316","I tried to recite them and recognize any patterns "
"1","co8802","DLHGWXS","DLHZW","4","7","0.5714285714285714","0","RANDOM","5.581","I tried to recite them and recognize any patterns "
"1","co8802","ZPCMKHR","ZPCMKHR","7","7","1","0","RANDOM","5.768","I tried to recite them and recognize any patterns "
"1","co8802","XYZYZYX","XYZZYXZ","3","7","0.42857142857142855","3","MIRROR","10.018","I tried to recite them and recognize any patterns "
"1","co8802","BDFHJLK","BDFHJKL","5","7","0.7142857142857143","0","RANDOM","5.638","I tried to recite them and recognize any patterns "
"1","co8802","EFEFEFE","EFEFEFEE","7","7","1","3","REPEAT","9.094","I tried to recite them and recognize any patterns "
"1","co8802","QZTRPNL","QZT…","3","7","0.42857142857142855","0","RANDOM","5.383","I tried to recite them and recognize any patterns "
"1","co8802","YTQBFNJ","YTQBF.","5","7","0.7142857142857143","0","RANDOM","7.229","I tried to recite them and recognize any patterns "
