participant_number,netid,sequence,recall,correct_count,total_letters,accuracy,compressibility,pattern_type,rt_seconds
"1","go3522","EEFFGGH","EEFFGGH","7","7","1","2","GROUP","1.624"
"1","go3522","RLVTXPW","RLVTXPW","7","7","1","0","RANDOM","2.034"
"1","go3522","ABCDCBA","ABCDCBA","7","7","1","3","MIRROR","3.39"
"1","go3522","CMFGLQT","CMFGLQT","7","7","1","0","RANDOM","2.787"
"1","go3522","QZTRPNL","AZTRPLN","4","7","0.5714285714285714","0","RANDOM","2.627"
"1","go3522","MMNNOOP","MMNNOOP","7","7","1","2","GROUP","1.737"
"1","go3522","FNBJQSK","FNBQSK","3","7","0.42857142857142855","0","RANDOM","3.024"
"1","go3522","SPKFDLR","FPKFLDR","4","7","0.5714285714285714","0","RANDOM","2.562"
"1","go3522","CDEFGED","CFEDGED","5","7","0.7142857142857143","0","RANDOM","6.734"
"1","go3522","DLHGWXS","CGHLWXS","4","7","0.5714285714285714","0","RANDOM","3.112"
"1","go3522","EFEFEFE","EFEFEFE","7","7","1","3","REPEAT","1.784"
"1","go3522","GHGHGHG","GHGHGHG","7","7","1","3","REPEAT","1.758"
"1","go3522","KLMNOPQ","KLMNOPQ","7","7","1","3","RUN","1.748"
"1","go3522","RSTUVWX","RSWTUVWZ","2","7","0.2857142857142857","3","RUN","2.761"
"1","go3522","CDCDCDC","CDCDCDC","7","7","1","3","REPEAT","1.46"
"1","go3522","KVMPZRC","KVMPZRC","7","7","1","0","RANDOM","2.687"
"1","go3522","ABABABA","ABABABA","7","7","1","3","REPEAT","1.448"
"1","go3522","NJQHZBM","NJQHRVM","5","7","0.7142857142857143","0","RANDOM","4.078"
"1","go3522","BDFHJLK","BDJHJM","4","7","0.5714285714285714","0","RANDOM","2.223"
"1","go3522","XYZYZYX","ZYVXYZU","1","7","0.14285714285714285","3","MIRROR","3.171"
"1","go3522","HRCMPZL","HRRCALM","2","7","0.2857142857142857","0","RANDOM","3.922"
"1","go3522","QQRRSSA","QQRRSSA","7","7","1","2","GROUP","1.65"
"1","go3522","YTQBFNJ","YTQFNBJ","4","7","0.5714285714285714","0","RANDOM","3.999"
"1","go3522","XBFNQJT","XBFJNQT","4","7","0.5714285714285714","0","RANDOM","3.151"
"1","go3522","HIJKLMN","HIJKLMN","7","7","1","3","RUN","1.961"
"1","go3522","HXJKQTV","HKTBFQX","1","7","0.14285714285714285","0","RANDOM","2.948"
"1","go3522","MNOPNM","MNOPMN","4","6","0.6666666666666666","0","RANDOM","1.746"
"1","go3522","WGLDTXV","WGLDVXT","5","7","0.7142857142857143","0","RANDOM","2.681"
"1","go3522","ZPCMKHR","ZPCKMR","3","7","0.42857142857142855","0","RANDOM","2.913"
"1","go3522","ABCDEFG","ABCDEFG","7","7","1","3","RUN","1.56"
"1","go3522","AABBCCD","AABBCCD","7","7","1","2","GROUP","1.411"
"1","go3522","MWRQZTA","MWRQZTA","7","7","1","0","RANDOM","4.903"
