participant_number,netid,sequence,recall,correct_count,total_letters,accuracy,compressibility,pattern_type,rt_seconds
"1","io6178","XYZYZYX","XYZYZYX","7","7","1","3","MIRROR","6.332"
"1","io6178","HXJKQTV","HXKJQTV","5","7","0.7142857142857143","0","RANDOM","5.829"
"1","io6178","SPKFDLR","SPKFDLR","7","7","1","0","RANDOM","4.683"
"1","io6178","XBFNQJT","XBFNJ","4","7","0.5714285714285714","0","RANDOM","5.372"
"1","io6178","ABCDCBA","ABCDCDA","6","7","0.8571428571428571","3","MIRROR","5.939"
"1","io6178","HRCMPZL","HRCZPEL","5","7","0.7142857142857143","0","RANDOM","5.775"
"1","io6178","QQRRSSA","QQRRSSA","7","7","1","2","GROUP","3.469"
"1","io6178","WGLDTXV","WGLDXT","4","7","0.5714285714285714","0","RANDOM","5.104"
"1","io6178","CMFGLQT","CMLGQT","3","7","0.42857142857142855","0","RANDOM","10.011"
"1","io6178","ZPCMKHR","ZPCHKPR","5","7","0.7142857142857143","0","RANDOM","7.747"
"1","io6178","EFEFEFE","EFEFEFE","7","7","1","3","REPEAT","2.895"
"1","io6178","BDFHJLK","BDLHJK","4","7","0.5714285714285714","0","RANDOM","5.567"
"1","io6178","RLVTXPW","RLTVXPW","5","7","0.7142857142857143","0","RANDOM","3.284"
"1","io6178","CDCDCDC","CDCDCDC","7","7","1","3","REPEAT","3.245"
"1","io6178","FNBJQSK","FNBJQJS","5","7","0.7142857142857143","0","RANDOM","4.139"
"1","io6178","EEFFGGH","EEFFGGH","7","7","1","2","GROUP","2.652"
"1","io6178","MMNNOOP","MMNNOOP","7","7","1","2","GROUP","2.669"
"1","io6178","QZTRPNL","QZTRPNL","7","7","1","0","RANDOM","4.772"
"1","io6178","MWRQZTA","MWRQZTA","7","7","1","0","RANDOM","3.69"
"1","io6178","CDEFGED","CDEFGED","7","7","1","0","RANDOM","2.638"
"1","io6178","ABCDEFG","ABCDEFG","7","7","1","3","RUN","2.545"
"1","io6178","KLMNOPQ","KLMNOPQ","7","7","1","3","RUN","4.205"
"1","io6178","MNOPNM","MNOPNM","6","6","1","0","RANDOM","2.136"
"1","io6178","AABBCCD","AABBCCD","7","7","1","2","GROUP","2.864"
"1","io6178","NJQHZBM","NJQHZBM","7","7","1","0","RANDOM","4.438"
"1","io6178","GHGHGHG","GHGHGHG","7","7","1","3","REPEAT","2.356"
"1","io6178","DLHGWXS","GLEDXS","1","7","0.14285714285714285","0","RANDOM","3.4"
"1","io6178","HIJKLMN","HIJKLMN","7","7","1","3","RUN","2.651"
"1","io6178","ABABABA","ABABABA","7","7","1","3","REPEAT","2.639"
"1","io6178","RSTUVWX","RSTUVWX","7","7","1","3","RUN","2.77"
"1","io6178","YTQBFNJ","YTQBFNG","6","7","0.8571428571428571","0","RANDOM","3.078"
"1","io6178","KVMPZRC","KVMPZRC","7","7","1","0","RANDOM","4.389"
