participant_number,netid,sequence,recall,correct_count,total_letters,accuracy,compressibility,pattern_type,rt_seconds
"1","je6894","QZTRPNL","QZTRPNL","7","7","1","0","RANDOM","3.873"
"1","je6894","YTQBFNJ","YTQBFNJ","7","7","1","0","RANDOM","5.404"
"1","je6894","ABCDEFG","ABCDEFG","7","7","1","3","RUN","2.69"
"1","je6894","SPKFDLR","SPKFDLR","7","7","1","0","RANDOM","3.792"
"1","je6894","ABCDCBA","ABCDBCA","5","7","0.7142857142857143","3","MIRROR","6.436"
"1","je6894","GHGHGHG","GHGHGHGH","7","7","1","3","REPEAT","3.526"
"1","je6894","DLHGWXS","DLGWHJS","3","7","0.42857142857142855","0","RANDOM","5.84"
"1","je6894","AABBCCD","AABBCCD","7","7","1","2","GROUP","2.524"
"1","je6894","EEFFGGH","EEFFGGH","7","7","1","2","GROUP","2.888"
"1","je6894","WGLDTXV","WGLDTJK","5","7","0.7142857142857143","0","RANDOM","6.869"
"1","je6894","RSTUVWX","RSTUVWX","7","7","1","3","RUN","5.492"
"1","je6894","ZPCMKHR","ZPCMK","5","7","0.7142857142857143","0","RANDOM","5.206"
"1","je6894","MMNNOOP","MMNNOOP","7","7","1","2","GROUP","2.856"
"1","je6894","FNBJQSK","FNBJSQK","5","7","0.7142857142857143","0","RANDOM","4.838"
"1","je6894","HXJKQTV","HXKJ","2","7","0.2857142857142857","0","RANDOM","5.522"
"1","je6894","QQRRSSA","QQRRSSA","7","7","1","2","GROUP","3.126"
"1","je6894","BDFHJLK","BDFJSLK","5","7","0.7142857142857143","0","RANDOM","4.724"
"1","je6894","XBFNQJT","XBFNJK","4","7","0.5714285714285714","0","RANDOM","5.541"
"1","je6894","HIJKLMN","HIJKLMN","7","7","1","3","RUN","6.412"
"1","je6894","RLVTXPW","RLVTXOP","5","7","0.7142857142857143","0","RANDOM","4.57"
"1","je6894","XYZYZYX","XYZYZXY","5","7","0.7142857142857143","3","MIRROR","4.908"
"1","je6894","EFEFEFE","EFEFEFE","7","7","1","3","REPEAT","3.557"
"1","je6894","MNOPNM","MNOPMN","4","6","0.6666666666666666","0","RANDOM","3.168"
"1","je6894","NJQHZBM","NJQHB","4","7","0.5714285714285714","0","RANDOM","3.729"
"1","je6894","MWRQZTA","MWRQTZA","5","7","0.7142857142857143","0","RANDOM","3.523"
"1","je6894","KVMPZRC","KVMPZP","5","7","0.7142857142857143","0","RANDOM","3.706"
"1","je6894","HRCMPZL","HRPMZ","3","7","0.42857142857142855","0","RANDOM","3.879"
"1","je6894","KLMNOPQ","KLM","3","7","0.42857142857142855","3","RUN","3.372"
"1","je6894","CMFGLQT","CMFGL","5","7","0.7142857142857143","0","RANDOM","4.088"
"1","je6894","CDCDCDC","CDCDCDC","7","7","1","3","REPEAT","3.293"
"1","je6894","ABABABA","ABABABA","7","7","1","3","REPEAT","4.993"
"1","je6894","CDEFGED","CDEFGED","7","7","1","0","RANDOM","5.325"
