participant_number,netid,sequence,recall,correct_count,total_letters,accuracy,compressibility,pattern_type,rt_seconds
"1","jr1283","QQRRSSA","QQRRSSA","7","7","1","2","GROUP","2.715"
"1","jr1283","DLHGWXS","DLGHSXA","3","7","0.42857142857142855","0","RANDOM","5.099"
"1","jr1283","CDCDCDC","CDCDCDC","7","7","1","3","REPEAT","3.722"
"1","jr1283","SPKFDLR","SPFKLDRF","3","7","0.42857142857142855","0","RANDOM","3.27"
"1","jr1283","ZPCMKHR","ZPCKMR","3","7","0.42857142857142855","0","RANDOM","3.827"
"1","jr1283","XBFNQJT","XBFNQT","5","7","0.7142857142857143","0","RANDOM","4.265"
"1","jr1283","RSTUVWX","RSTUVXW","5","7","0.7142857142857143","3","RUN","8.284"
"1","jr1283","RLVTXPW","RLXPTVW","3","7","0.42857142857142855","0","RANDOM","4.173"
"1","jr1283","FNBJQSK","FBNJXS","3","7","0.42857142857142855","0","RANDOM","6.529"
"1","jr1283","ABCDCBA","ABCDCBA","7","7","1","3","MIRROR","3.363"
"1","jr1283","EEFFGGH","EEFFGGH","7","7","1","2","GROUP","2.784"
"1","jr1283","QZTRPNL","QTZLPH","2","7","0.2857142857142857","0","RANDOM","5.043"
"1","jr1283","GHGHGHG","GHGHGHG","7","7","1","3","REPEAT","3.251"
"1","jr1283","AABBCCD","AABBCCD","7","7","1","2","GROUP","2.526"
"1","jr1283","NJQHZBM","NJQHNT","4","7","0.5714285714285714","0","RANDOM","4.253"
"1","jr1283","BDFHJLK","BDFHJCK","6","7","0.8571428571428571","0","RANDOM","5.735"
"1","jr1283","MMNNOOP","MMNNOOP","7","7","1","2","GROUP","2.642"
"1","jr1283","HXJKQTV","HXJKQTV","7","7","1","0","RANDOM","4.543"
"1","jr1283","CDEFGED","CDEFGCD","6","7","0.8571428571428571","0","RANDOM","4.795"
"1","jr1283","HIJKLMN","HIJKLMN","7","7","1","3","RUN","3.87"
"1","jr1283","CMFGLQT","CMFGLQT","7","7","1","0","RANDOM","3.788"
"1","jr1283","ABABABA","ABABABA","7","7","1","3","REPEAT","2.102"
"1","jr1283","WGLDTXV","WGLDTX","6","7","0.8571428571428571","0","RANDOM","4.632"
"1","jr1283","EFEFEFE","EFEFEFE","7","7","1","3","REPEAT","1.919"
"1","jr1283","XYZYZYX","XYZYZYZ","6","7","0.8571428571428571","3","MIRROR","6.996"
"1","jr1283","MNOPNM","MNOPNO","5","6","0.8333333333333334","0","RANDOM","4.864"
"1","jr1283","ABCDEFG","ABCEFG","3","7","0.42857142857142855","3","RUN","3.579"
"1","jr1283","YTQBFNJ","YTQBJNK","5","7","0.7142857142857143","0","RANDOM","7.443"
"1","jr1283","HRCMPZL","HRCMPL","5","7","0.7142857142857143","0","RANDOM","4.438"
"1","jr1283","KVMPZRC","KMVPMNL","2","7","0.2857142857142857","0","RANDOM","5.542"
"1","jr1283","MWRQZTA","MWRQTP","4","7","0.5714285714285714","0","RANDOM","6.375"
"1","jr1283","KLMNOPQ","KLMNOPQ","7","7","1","3","RUN","3.93"
