participant_number,netid,sequence,recall,correct_count,total_letters,accuracy,compressibility,pattern_type,rt_seconds
"1","js6614","ZPCMKHR","ZPCMKRC","5","7","0.7142857142857143","0","RANDOM","5.511"
"1","js6614","HXJKQTV","HXJQTX","3","7","0.42857142857142855","0","RANDOM","6.256"
"1","js6614","ABCDCBA","ABCDCBA","7","7","1","3","MIRROR","3.972"
"1","js6614","NJQHZBM","NJQKHA","3","7","0.42857142857142855","0","RANDOM","4.529"
"1","js6614","BDFHJLK","BDFHJK","5","7","0.7142857142857143","0","RANDOM","5.036"
"1","js6614","QQRRSSA","QQRRSSA","7","7","1","2","GROUP","2.442"
"1","js6614","DLHGWXS","DLHGWR","5","7","0.7142857142857143","0","RANDOM","7.883"
"1","js6614","EEFFGGH","EEFFGGH","7","7","1","2","GROUP","3.035"
"1","js6614","ABCDEFG","ABCDEFG","7","7","1","3","RUN","3.708"
"1","js6614","XYZYZYX","XYZYZX","5","7","0.7142857142857143","3","MIRROR","4.583"
"1","js6614","CDCDCDC","CDCDCDC","7","7","1","3","REPEAT","4.059"
"1","js6614","CDEFGED","CDEFCD","4","7","0.5714285714285714","0","RANDOM","10.015"
"1","js6614","GHGHGHG","GHGHGHG","7","7","1","3","REPEAT","2.941"
"1","js6614","HIJKLMN","HIJKLMN","7","7","1","3","RUN","6.312"
"1","js6614","SPKFDLR","SPKFDF","5","7","0.7142857142857143","0","RANDOM","6.222"
"1","js6614","FNBJQSK","FNBJQR","5","7","0.7142857142857143","0","RANDOM","3.202"
"1","js6614","ABABABA","ABABABA","7","7","1","3","REPEAT","2.834"
"1","js6614","YTQBFNJ","YTQBTNQ","5","7","0.7142857142857143","0","RANDOM","5.935"
"1","js6614","RLVTXPW","RLVTXQR","5","7","0.7142857142857143","0","RANDOM","6.009"
"1","js6614","MMNNOOP","MMNNOOP","7","7","1","2","GROUP","2.83"
"1","js6614","WGLDTXV","WGLDTXV","7","7","1","0","RANDOM","5.078"
"1","js6614","KLMNOPQ","KLMNOPQ","7","7","1","3","RUN","3.776"
"1","js6614","MWRQZTA","MWRQTVA","5","7","0.7142857142857143","0","RANDOM","4.773"
"1","js6614","RSTUVWX","RSTUVXW","5","7","0.7142857142857143","3","RUN","4.93"
"1","js6614","KVMPZRC","KVMPRQS","4","7","0.5714285714285714","0","RANDOM","5.833"
"1","js6614","MNOPNM","MNOPNM","6","6","1","0","RANDOM","3.043"
"1","js6614","QZTRPNL","QZTRPV","5","7","0.7142857142857143","0","RANDOM","5.608"
"1","js6614","HRCMPZL","HRCMPVT","5","7","0.7142857142857143","0","RANDOM","5.238"
"1","js6614","CMFGLQT","CMFGLQT","7","7","1","0","RANDOM","5.147"
"1","js6614","EFEFEFE","EFEFEFE","7","7","1","3","REPEAT","3.592"
"1","js6614","XBFNQJT","XBFNQTP","5","7","0.7142857142857143","0","RANDOM","5.517"
"1","js6614","AABBCCD","AABBCCD","7","7","1","2","GROUP","2.988"
