participant_number,netid,sequence,recall,correct_count,total_letters,accuracy,compressibility,pattern_type,rt_seconds
"1","jw7814","CMFGLQT","CMFGLQT","7","7","1","0","RANDOM","3.55"
"1","jw7814","DLHGWXS","DHSGWLX","3","7","0.42857142857142855","0","RANDOM","4.397"
"1","jw7814","EEFFGGH","EEFFGGH","7","7","1","2","GROUP","2.397"
"1","jw7814","NJQHZBM","NJQHZLN","5","7","0.7142857142857143","0","RANDOM","8.416"
"1","jw7814","QQRRSSA","QQRRSSA","7","7","1","2","GROUP","2.774"
"1","jw7814","RLVTXPW","RLVTXWS","5","7","0.7142857142857143","0","RANDOM","4.096"
"1","jw7814","ABCDEFG","ABCDEFG","7","7","1","3","RUN","3.161"
"1","jw7814","ZPCMKHR","ZPCMKHR","7","7","1","0","RANDOM","4.487"
"1","jw7814","MNOPNM","MNOPMN","4","6","0.6666666666666666","0","RANDOM","5.477"
"1","jw7814","AABBCCD","AABBCCD","7","7","1","2","GROUP","3.346"
"1","jw7814","ABCDCBA","ABCDCBA","7","7","1","3","MIRROR","4.955"
"1","jw7814","CDEFGED","CEEFGED","6","7","0.8571428571428571","0","RANDOM","2.672"
"1","jw7814","MWRQZTA","MWRQZTA","7","7","1","0","RANDOM","5.495"
"1","jw7814","WGLDTXV","WGLDTXV","7","7","1","0","RANDOM","4.246"
"1","jw7814","HRCMPZL","HRCZPML","5","7","0.7142857142857143","0","RANDOM","3.606"
"1","jw7814","KVMPZRC","KVMCZRC","6","7","0.8571428571428571","0","RANDOM","5.417"
"1","jw7814","SPKFDLR","SPKFDLR","7","7","1","0","RANDOM","3.2"
"1","jw7814","MMNNOOP","MMNNOOP","7","7","1","2","GROUP","3.772"
"1","jw7814","BDFHJLK","BDHJLKG","2","7","0.2857142857142857","0","RANDOM","6.268"
"1","jw7814","QZTRPNL","QZTRPNL","7","7","1","0","RANDOM","4.141"
"1","jw7814","RSTUVWX","RSTUVWX","7","7","1","3","RUN","2.956"
"1","jw7814","CDCDCDC","CDCDCDC","7","7","1","3","REPEAT","2.617"
"1","jw7814","HIJKLMN","HIJKLMN","7","7","1","3","RUN","2.521"
"1","jw7814","ABABABA","ABABABA","7","7","1","3","REPEAT","2.895"
"1","jw7814","HXJKQTV","HXJQTXX","3","7","0.42857142857142855","0","RANDOM","5.032"
"1","jw7814","KLMNOPQ","KLMNOPQ","7","7","1","3","RUN","9.151"
"1","jw7814","GHGHGHG","GHGHGHG","7","7","1","3","REPEAT","4.511"
"1","jw7814","EFEFEFE","EFEFEFE","7","7","1","3","REPEAT","2.892"
"1","jw7814","FNBJQSK","FNBJQSK","7","7","1","0","RANDOM","4.284"
"1","jw7814","YTQBFNJ","YTQFBNJ","5","7","0.7142857142857143","0","RANDOM","7.677"
"1","jw7814","XYZYZYX","XYZXYZY","3","7","0.42857142857142855","3","MIRROR","8.997"
"1","jw7814","XBFNQJT","XBFNQTJ","5","7","0.7142857142857143","0","RANDOM","4.67"
