participant_number,netid,sequence,recall,correct_count,total_letters,accuracy,compressibility,pattern_type,rt_seconds
"1","km8443","HXJKQTV","HXJQIJH","3","7","0.42857142857142855","0","RANDOM","8.946"
"1","km8443","CDEFGED","CDEFGED","7","7","1","0","RANDOM","3.554"
"1","km8443","CDCDCDC","CDCDCDC","7","7","1","3","REPEAT","3.666"
"1","km8443","MNOPNM","MNOPMN","4","6","0.6666666666666666","0","RANDOM","2.943"
"1","km8443","EEFFGGH","EEFFGGH","7","7","1","2","GROUP","2.805"
"1","km8443","KLMNOPQ","KLMNOPQ","7","7","1","3","RUN","2.301"
"1","km8443","AABBCCD","AABBCCD","7","7","1","2","GROUP","3.478"
"1","km8443","RLVTXPW","RLVTQE","4","7","0.5714285714285714","0","RANDOM","4.686"
"1","km8443","FNBJQSK","FNBJQFB","5","7","0.7142857142857143","0","RANDOM","4.755"
"1","km8443","YTQBFNJ","YTQBFKQ","5","7","0.7142857142857143","0","RANDOM","4.536"
"1","km8443","NJQHZBM","NJQHZHA","5","7","0.7142857142857143","0","RANDOM","5.729"
"1","km8443","ABCDCBA","ABCDCBA","7","7","1","3","MIRROR","2.306"
"1","km8443","KVMPZRC","KVMPZEQ","5","7","0.7142857142857143","0","RANDOM","2.544"
"1","km8443","ABABABA","ABABABA","7","7","1","3","REPEAT","2.277"
"1","km8443","DLHGWXS","GLHZHDE","2","7","0.2857142857142857","0","RANDOM","4.087"
"1","km8443","XYZYZYX","XYZYZYZ","6","7","0.8571428571428571","3","MIRROR","4.941"
"1","km8443","MWRQZTA","MWRQRE","4","7","0.5714285714285714","0","RANDOM","4.684"
"1","km8443","EFEFEFE","EFEFEFE","7","7","1","3","REPEAT","5.572"
"1","km8443","MMNNOOP","MMNNOOP","7","7","1","2","GROUP","2.225"
"1","km8443","BDFHJLK","BDFGHE","3","7","0.42857142857142855","0","RANDOM","4.057"
"1","km8443","HIJKLMN","HIJKLMN","7","7","1","3","RUN","2.04"
"1","km8443","SPKFDLR","SPKFEW","4","7","0.5714285714285714","0","RANDOM","3.225"
"1","km8443","QQRRSSA","QQRRSSA","7","7","1","2","GROUP","2.522"
"1","km8443","GHGHGHG","GHGHGHG","7","7","1","3","REPEAT","3.913"
"1","km8443","CMFGLQT","CMFLQT","3","7","0.42857142857142855","0","RANDOM","3.354"
"1","km8443","XBFNQJT","XBFNEN","4","7","0.5714285714285714","0","RANDOM","2.791"
"1","km8443","ABCDEFG","ABCDEFG","7","7","1","3","RUN","2.558"
"1","km8443","HRCMPZL","HRCHEFH","3","7","0.42857142857142855","0","RANDOM","6.688"
"1","km8443","ZPCMKHR","ZPCCHME","3","7","0.42857142857142855","0","RANDOM","4.131"
"1","km8443","RSTUVWX","RSTUVXY","5","7","0.7142857142857143","3","RUN","5.52"
"1","km8443","WGLDTXV","WGLDTXR","6","7","0.8571428571428571","0","RANDOM","3.56"
"1","km8443","QZTRPNL","QZTRPLR","5","7","0.7142857142857143","0","RANDOM","6.312"
