participant_number,netid,sequence,recall,correct_count,total_letters,accuracy,compressibility,pattern_type,rt_seconds,strategy
"1","lr5003","ZPCMKHR","ZPCMHMR","5","7","0.7142857142857143","0","RANDOM","6.292","Lowkey just kinda trying to create words of the letters or using them as parts of words "
"1","lr5003","ABCDCBA","ABCDCBA","7","7","1","3","MIRROR","7.844","Lowkey just kinda trying to create words of the letters or using them as parts of words "
"1","lr5003","RLVTXPW","RLVTWX","4","7","0.5714285714285714","0","RANDOM","7.61","Lowkey just kinda trying to create words of the letters or using them as parts of words "
"1","lr5003","ABCDEFG","ABCDEFG","7","7","1","3","RUN","9.6","Lowkey just kinda trying to create words of the letters or using them as parts of words "
"1","lr5003","SPKFDLR","SPKFLDR","5","7","0.7142857142857143","0","RANDOM","8.196","Lowkey just kinda trying to create words of the letters or using them as parts of words "
"1","lr5003","CDCDCDC","CDCDCDC","7","7","1","3","REPEAT","6.029","Lowkey just kinda trying to create words of the letters or using them as parts of words "
"1","lr5003","KLMNOPQ","KLMNOPQ","7","7","1","3","RUN","6.513","Lowkey just kinda trying to create words of the letters or using them as parts of words "
"1","lr5003","CMFGLQT","CLMQT","1","7","0.14285714285714285","0","RANDOM","6.047","Lowkey just kinda trying to create words of the letters or using them as parts of words "
"1","lr5003","YTQBFNJ","YTQNJBF","3","7","0.42857142857142855","0","RANDOM","7.299","Lowkey just kinda trying to create words of the letters or using them as parts of words "
"1","lr5003","XBFNQJT","XBNMJT","2","7","0.2857142857142857","0","RANDOM","7.329","Lowkey just kinda trying to create words of the letters or using them as parts of words "
"1","lr5003","NJQHZBM","BMHZ","0","7","0","0","RANDOM","5.262","Lowkey just kinda trying to create words of the letters or using them as parts of words "
"1","lr5003","FNBJQSK","FNBJKL","4","7","0.5714285714285714","0","RANDOM","7.112","Lowkey just kinda trying to create words of the letters or using them as parts of words "
"1","lr5003","ABABABA","ABABABA","7","7","1","3","REPEAT","4.647","Lowkey just kinda trying to create words of the letters or using them as parts of words "
"1","lr5003","DLHGWXS","DLWSQS","2","7","0.2857142857142857","0","RANDOM","6.362","Lowkey just kinda trying to create words of the letters or using them as parts of words "
"1","lr5003","MMNNOOP","MMNNOOP","7","7","1","2","GROUP","4.745","Lowkey just kinda trying to create words of the letters or using them as parts of words "
"1","lr5003","QZTRPNL","QZRTLRL","3","7","0.42857142857142855","0","RANDOM","7.529","Lowkey just kinda trying to create words of the letters or using them as parts of words "
"1","lr5003","MWRQZTA","MWRLTA","3","7","0.42857142857142855","0","RANDOM","7.689","Lowkey just kinda trying to create words of the letters or using them as parts of words "
"1","lr5003","AABBCCD","AABBCCD","7","7","1","2","GROUP","6.371","Lowkey just kinda trying to create words of the letters or using them as parts of words "
"1","lr5003","GHGHGHG","GHGHGHG","7","7","1","3","REPEAT","5.196","Lowkey just kinda trying to create words of the letters or using them as parts of words "
"1","lr5003","HXJKQTV","HQTVJK","1","7","0.14285714285714285","0","RANDOM","6.911","Lowkey just kinda trying to create words of the letters or using them as parts of words "
"1","lr5003","EFEFEFE","EFEFEFE","7","7","1","3","REPEAT","5.014","Lowkey just kinda trying to create words of the letters or using them as parts of words "
"1","lr5003","EEFFGGH","EEFFGGH","7","7","1","2","GROUP","5.244","Lowkey just kinda trying to create words of the letters or using them as parts of words "
"1","lr5003","KVMPZRC","BRQRC","0","7","0","0","RANDOM","10.096","Lowkey just kinda trying to create words of the letters or using them as parts of words "
"1","lr5003","XYZYZYX","XZXZXZXZ","2","7","0.2857142857142857","3","MIRROR","9.669","Lowkey just kinda trying to create words of the letters or using them as parts of words "
"1","lr5003","RSTUVWX","RSTUVWX","7","7","1","3","RUN","6.73","Lowkey just kinda trying to create words of the letters or using them as parts of words "
"1","lr5003","BDFHJLK","BDFGHIJ","3","7","0.42857142857142855","0","RANDOM","6.913","Lowkey just kinda trying to create words of the letters or using them as parts of words "
"1","lr5003","MNOPNM","MNOPMNO","4","6","0.6666666666666666","0","RANDOM","6.263","Lowkey just kinda trying to create words of the letters or using them as parts of words "
"1","lr5003","CDEFGED","CDEFEDG","4","7","0.5714285714285714","0","RANDOM","7.062","Lowkey just kinda trying to create words of the letters or using them as parts of words "
"1","lr5003","HIJKLMN","HIJKLMN","7","7","1","3","RUN","4.948","Lowkey just kinda trying to create words of the letters or using them as parts of words "
"1","lr5003","QQRRSSA","QQRRSSA","7","7","1","2","GROUP","4.23","Lowkey just kinda trying to create words of the letters or using them as parts of words "
"1","lr5003","WGLDTXV","WDLJDA","2","7","0.2857142857142857","0","RANDOM","7.364","Lowkey just kinda trying to create words of the letters or using them as parts of words "
"1","lr5003","HRCMPZL","HRXMRAL","4","7","0.5714285714285714","0","RANDOM","5.832","Lowkey just kinda trying to create words of the letters or using them as parts of words "
