participant_number,netid,sequence,recall,correct_count,total_letters,accuracy,compressibility,pattern_type,rt_seconds
"1","ma3440","HRCMPZL","HRMPZL","2","7","0.2857142857142857","0","RANDOM","4.137"
"1","ma3440","BDFHJLK","BDFHJKL","5","7","0.7142857142857143","0","RANDOM","3.833"
"1","ma3440","EEFFGGH","EEEFFGGH","4","7","0.5714285714285714","2","GROUP","6.647"
"1","ma3440","NJQHZBM","HJQHJZBM","3","7","0.42857142857142855","0","RANDOM","4.786"
"1","ma3440","MNOPNM","MNOPMN","4","6","0.6666666666666666","0","RANDOM","5.105"
"1","ma3440","EFEFEFE","EFEFEFE","7","7","1","3","REPEAT","2.333"
"1","ma3440","HXJKQTV","HXJZTV","3","7","0.42857142857142855","0","RANDOM","3.201"
"1","ma3440","KVMPZRC","KVMPZRC","7","7","1","0","RANDOM","2.732"
"1","ma3440","CDCDCDC","CDCDCDC","7","7","1","3","REPEAT","1.86"
"1","ma3440","WGLDTXV","WGLTXCV","4","7","0.5714285714285714","0","RANDOM","4.368"
"1","ma3440","HIJKLMN","HIJKLMNO","7","7","1","3","RUN","2.816"
"1","ma3440","XBFNQJT","XBFNQJT","7","7","1","0","RANDOM","5.174"
"1","ma3440","ABCDEFG","ABCDEFG","7","7","1","3","RUN","2.792"
"1","ma3440","MWRQZTA","MWRQZTA","7","7","1","0","RANDOM","3.677"
"1","ma3440","YTQBFNJ","YTQBFNJ","7","7","1","0","RANDOM","3.873"
"1","ma3440","MMNNOOP","MMNNOOP","7","7","1","2","GROUP","1.696"
"1","ma3440","GHGHGHG","GHGHGHG","7","7","1","3","REPEAT","2.022"
"1","ma3440","CDEFGED","CDEFGED","7","7","1","0","RANDOM","2.795"
"1","ma3440","FNBJQSK","FNBJQSK","7","7","1","0","RANDOM","4.697"
"1","ma3440","XYZYZYX","XYZYZXY","5","7","0.7142857142857143","3","MIRROR","5.207"
"1","ma3440","QZTRPNL","QZPRTNKL","4","7","0.5714285714285714","0","RANDOM","3.13"
"1","ma3440","SPKFDLR","SPKFDLR","7","7","1","0","RANDOM","2.037"
"1","ma3440","ZPCMKHR","ZPCMKHR","7","7","1","0","RANDOM","2.713"
"1","ma3440","CMFGLQT","CMFGQLT","5","7","0.7142857142857143","0","RANDOM","3.745"
"1","ma3440","RSTUVWX","RSTUVWX","7","7","1","3","RUN","2.577"
"1","ma3440","KLMNOPQ","KLMNOPQ","7","7","1","3","RUN","2.768"
"1","ma3440","ABABABA","ABABABA","7","7","1","3","REPEAT","1.947"
"1","ma3440","RLVTXPW","RLVQXTW","5","7","0.7142857142857143","0","RANDOM","3.464"
"1","ma3440","DLHGWXS","DLHGWXH","6","7","0.8571428571428571","0","RANDOM","4.297"
"1","ma3440","AABBCCD","AABBCCD","7","7","1","2","GROUP","2.243"
"1","ma3440","QQRRSSA","QQRRSSA","7","7","1","2","GROUP","3.158"
"1","ma3440","ABCDCBA","ABCDCBA","7","7","1","3","MIRROR","3.423"
