participant_number,netid,sequence,recall,correct_count,total_letters,accuracy,compressibility,pattern_type,rt_seconds
"1","mh7124","QQRRSSA","QQRRSSA","7","7","1","2","GROUP","4.312"
"1","mh7124","GHGHGHG","GHGHGHGH","7","7","1","3","REPEAT","4.848"
"1","mh7124","CMFGLQT","CMFQLGT","5","7","0.7142857142857143","0","RANDOM","4.691"
"1","mh7124","HRCMPZL","HRCMPLZ","5","7","0.7142857142857143","0","RANDOM","3.894"
"1","mh7124","WGLDTXV","WGLTDTQ","3","7","0.42857142857142855","0","RANDOM","3.929"
"1","mh7124","KVMPZRC","KVMPZRQT","6","7","0.8571428571428571","0","RANDOM","4.378"
"1","mh7124","QZTRPNL","QZPRTNL","5","7","0.7142857142857143","0","RANDOM","3.544"
"1","mh7124","EFEFEFE","EFEFEFE","7","7","1","3","REPEAT","5.633"
"1","mh7124","CDCDCDC","CDCDCDCD","7","7","1","3","REPEAT","4.85"
"1","mh7124","CDEFGED","CDEFGED","7","7","1","0","RANDOM","3.239"
"1","mh7124","RLVTXPW","RLVXTPMW","4","7","0.5714285714285714","0","RANDOM","6.563"
"1","mh7124","DLHGWXS","DLHGTQW","4","7","0.5714285714285714","0","RANDOM","10.003"
"1","mh7124","EEFFGGH","EEFFGGH","7","7","1","2","GROUP","2.686"
"1","mh7124","ZPCMKHR","ZPCQMHR","5","7","0.7142857142857143","0","RANDOM","2.76"
"1","mh7124","BDFHJLK","BDFHJLK","7","7","1","0","RANDOM","3.982"
"1","mh7124","FNBJQSK","FNBQJSK","5","7","0.7142857142857143","0","RANDOM","3.733"
"1","mh7124","ABCDCBA","ABCDCBA","7","7","1","3","MIRROR","10.003"
"1","mh7124","NJQHZBM","NJQHWA","4","7","0.5714285714285714","0","RANDOM","7.53"
"1","mh7124","HIJKLMN","HIJKLMN","7","7","1","3","RUN","4.649"
"1","mh7124","XYZYZYX","XYZYZXZ","5","7","0.7142857142857143","3","MIRROR","6.581"
"1","mh7124","XBFNQJT","XBNJFQT","3","7","0.42857142857142855","0","RANDOM","4.078"
"1","mh7124","MWRQZTA","MWRQTNA","5","7","0.7142857142857143","0","RANDOM","3.493"
"1","mh7124","HXJKQTV","HZQWWHA","1","7","0.14285714285714285","0","RANDOM","10.001"
"1","mh7124","MMNNOOP","MMNNOOP","7","7","1","2","GROUP","2.488"
"1","mh7124","RSTUVWX","RSTUVWX","7","7","1","3","RUN","6.86"
"1","mh7124","MNOPNM","MNOPQPN","4","6","0.6666666666666666","0","RANDOM","10.003"
"1","mh7124","YTQBFNJ","YTQOPON","3","7","0.42857142857142855","0","RANDOM","9.505"
"1","mh7124","ABABABA","ABABABA","7","7","1","3","REPEAT","3.545"
"1","mh7124","SPKFDLR","SPKFDQR","6","7","0.8571428571428571","0","RANDOM","4.988"
"1","mh7124","ABCDEFG","ABCDEFG","7","7","1","3","RUN","2.425"
"1","mh7124","KLMNOPQ","KLMNOPQ","7","7","1","3","RUN","3.448"
"1","mh7124","AABBCCD","AABBCCD","7","7","1","2","GROUP","2.316"
