participant_number,netid,sequence,recall,correct_count,total_letters,accuracy,compressibility,pattern_type,rt_seconds
"1","mk2956","CDCDCDC","CDCDCDC","7","7","1","3","REPEAT","5.573"
"1","mk2956","YTQBFNJ","YTBQNFNJ","2","7","0.2857142857142857","0","RANDOM","6.721"
"1","mk2956","ZPCMKHR","ZPCMKHR","7","7","1","0","RANDOM","4.803"
"1","mk2956","NJQHZBM","NJQHZBM","7","7","1","0","RANDOM","4.817"
"1","mk2956","ABABABA","ABABABA","7","7","1","3","REPEAT","3.985"
"1","mk2956","QZTRPNL","QZTRPNL","7","7","1","0","RANDOM","6.244"
"1","mk2956","SPKFDLR","SPKFDLR","7","7","1","0","RANDOM","4.518"
"1","mk2956","GHGHGHG","GHGHGHG","7","7","1","3","REPEAT","4.871"
"1","mk2956","ABCDCBA","ABCDCBA","7","7","1","3","MIRROR","4.38"
"1","mk2956","EEFFGGH","EEFFGGH","7","7","1","2","GROUP","3.948"
"1","mk2956","FNBJQSK","FNBJQSK","7","7","1","0","RANDOM","4.732"
"1","mk2956","HXJKQTV","HXQTHJ","2","7","0.2857142857142857","0","RANDOM","7.257"
"1","mk2956","DLHGWXS","DLHQXS","3","7","0.42857142857142855","0","RANDOM","10.13"
"1","mk2956","WGLDTXV","WGLDXHQ","4","7","0.5714285714285714","0","RANDOM","7.656"
"1","mk2956","HIJKLMN","HIJKLMN","7","7","1","3","RUN","4.173"
"1","mk2956","HRCMPZL","HRCMPZL","7","7","1","0","RANDOM","4.61"
"1","mk2956","KVMPZRC","KVMPZRC","7","7","1","0","RANDOM","5.541"
"1","mk2956","MMNNOOP","MMNNOOP","7","7","1","2","GROUP","5.186"
"1","mk2956","AABBCCD","AABBCCD","7","7","1","2","GROUP","4.144"
"1","mk2956","KLMNOPQ","KLMNOPQ","7","7","1","3","RUN","4.284"
"1","mk2956","XBFNQJT","XBFNQJT","7","7","1","0","RANDOM","4.956"
"1","mk2956","EFEFEFE","EFEFEFE","7","7","1","3","REPEAT","4.333"
"1","mk2956","CMFGLQT","CMFGLQT","7","7","1","0","RANDOM","4.706"
"1","mk2956","ABCDEFG","ABCDEFG","7","7","1","3","RUN","4.077"
"1","mk2956","MWRQZTA","MWRQZTA","7","7","1","0","RANDOM","4.582"
"1","mk2956","RSTUVWX","RSTUVWX","7","7","1","3","RUN","8.678"
"1","mk2956","MNOPNM","MNOPNM","6","6","1","0","RANDOM","3.641"
"1","mk2956","CDEFGED","CDEFGED","7","7","1","0","RANDOM","5.998"
"1","mk2956","RLVTXPW","RLVTXPW","7","7","1","0","RANDOM","4.751"
"1","mk2956","XYZYZYX","XYZYZYW","6","7","0.8571428571428571","3","MIRROR","6.74"
"1","mk2956","QQRRSSA","QQRRSSA","7","7","1","2","GROUP","4.389"
"1","mk2956","BDFHJLK","BDFHJLK","7","7","1","0","RANDOM","6.469"
