participant_number,netid,sequence,recall,correct_count,total_letters,accuracy,compressibility,pattern_type,rt_seconds
"1","na4430","MWRQZTA","MWRQTZA","5","7","0.7142857142857143","0","RANDOM","10.005"
"1","na4430","EFEFEFE","EFEFEFE","7","7","1","3","REPEAT","3.727"
"1","na4430","GHGHGHG","GHGHGHG","7","7","1","3","REPEAT","4.095"
"1","na4430","RSTUVWX","RSTUVWX","7","7","1","3","RUN","7.396"
"1","na4430","ABABABA","ABABABA","7","7","1","3","REPEAT","4.018"
"1","na4430","RLVTXPW","RLVTXPW","7","7","1","0","RANDOM","10.002"
"1","na4430","CMFGLQT","CMFGLQT","7","7","1","0","RANDOM","5.927"
"1","na4430","AABBCCD","AABBCCD","7","7","1","2","GROUP","3.305"
"1","na4430","HXJKQTV","HXKQTV","2","7","0.2857142857142857","0","RANDOM","9.853"
"1","na4430","KVMPZRC","KVMPCRC","6","7","0.8571428571428571","0","RANDOM","10.004"
"1","na4430","ZPCMKHR","ZPCMRH","5","7","0.7142857142857143","0","RANDOM","8.616"
"1","na4430","XBFNQJT","XBFQMRJ","3","7","0.42857142857142855","0","RANDOM","8.883"
"1","na4430","HIJKLMN","HIJKLMN","7","7","1","3","RUN","4.002"
"1","na4430","FNBJQSK","FNBJQSK","7","7","1","0","RANDOM","4.876"
"1","na4430","DLHGWXS","GMHGQ","2","7","0.2857142857142857","0","RANDOM","10.004"
"1","na4430","YTQBFNJ","YTQBWMF","4","7","0.5714285714285714","0","RANDOM","10.003"
"1","na4430","WGLDTXV","DTLBWLG","1","7","0.14285714285714285","0","RANDOM","8.061"
"1","na4430","XYZYZYX","XYZYZYX","7","7","1","3","MIRROR","6.958"
"1","na4430","BDFHJLK","BDFHJLK","7","7","1","0","RANDOM","5.048"
"1","na4430","ABCDEFG","ABCDEFG","7","7","1","3","RUN","3.301"
"1","na4430","MMNNOOP","MMNNOOP","7","7","1","2","GROUP","2.987"
"1","na4430","SPKFDLR","SPKFDLR","7","7","1","0","RANDOM","3.768"
"1","na4430","NJQHZBM","NJQHBZM","5","7","0.7142857142857143","0","RANDOM","6.59"
"1","na4430","MNOPNM","MNOPNM","6","6","1","0","RANDOM","2.643"
"1","na4430","KLMNOPQ","KLMNOPQ","7","7","1","3","RUN","7.146"
"1","na4430","HRCMPZL","HRCMPZL","7","7","1","0","RANDOM","5.876"
"1","na4430","QQRRSSA","QQRRSSA","7","7","1","2","GROUP","4.321"
"1","na4430","CDEFGED","CDEFGED","7","7","1","0","RANDOM","4.664"
"1","na4430","CDCDCDC","CDCDCDC","7","7","1","3","REPEAT","3.318"
"1","na4430","EEFFGGH","EEFFGGH","7","7","1","2","GROUP","2.672"
"1","na4430","ABCDCBA","ABCDCBA","7","7","1","3","MIRROR","4.89"
"1","na4430","QZTRPNL","QTZRPNL","5","7","0.7142857142857143","0","RANDOM","6.06"
