participant_number,netid,sequence,recall,correct_count,total_letters,accuracy,compressibility,pattern_type,rt_seconds,strategy
"1","sdorosin","RSTUVWX","RSTUVWX","7","7","1","3","RUN","6.562","Just said it out loud. "
"1","sdorosin","DLHGWXS","GWHVUW","1","7","0.14285714285714285","0","RANDOM","10.018","Just said it out loud. "
"1","sdorosin","YTQBFNJ","YTQBFNJ","7","7","1","0","RANDOM","7.64","Just said it out loud. "
"1","sdorosin","ZPCMKHR","ZPCMKHR","7","7","1","0","RANDOM","10.035","Just said it out loud. "
"1","sdorosin","MWRQZTA","MWRQ","4","7","0.5714285714285714","0","RANDOM","10.017","Just said it out loud. "
"1","sdorosin","XYZYZYX","XYZYZYX","7","7","1","3","MIRROR","7.261","Just said it out loud. "
"1","sdorosin","CMFGLQT","CMFGLQT","7","7","1","0","RANDOM","10.017","Just said it out loud. "
"1","sdorosin","KLMNOPQ","KLMNOPQ","7","7","1","3","RUN","10.016","Just said it out loud. "
"1","sdorosin","BDFHJLK","BDFHJLK","7","7","1","0","RANDOM","10.015","Just said it out loud. "
"1","sdorosin","CDEFGED","CDEFGHE","5","7","0.7142857142857143","0","RANDOM","10.016","Just said it out loud. "
"1","sdorosin","ABCDCBA","ABCDCBA","7","7","1","3","MIRROR","10.017","Just said it out loud. "
"1","sdorosin","RLVTXPW","RLPTXPW","6","7","0.8571428571428571","0","RANDOM","10.018","Just said it out loud. "
"1","sdorosin","HRCMPZL","HRZMPCL","5","7","0.7142857142857143","0","RANDOM","10.018","Just said it out loud. "
"1","sdorosin","KVMPZRC","KVMHPRC","5","7","0.7142857142857143","0","RANDOM","10.016","Just said it out loud. "
"1","sdorosin","SPKFDLR","SPKHDLR","6","7","0.8571428571428571","0","RANDOM","10.016","Just said it out loud. "
"1","sdorosin","NJQHZBM","NJQZHBM","5","7","0.7142857142857143","0","RANDOM","10.018","Just said it out loud. "
"1","sdorosin","FNBJQSK","FNBJQSK","7","7","1","0","RANDOM","10.017","Just said it out loud. "
"1","sdorosin","EEFFGGH","EEFFGGH","7","7","1","2","GROUP","10.017","Just said it out loud. "
"1","sdorosin","ABABABA","ABABABA","7","7","1","3","REPEAT","10.017","Just said it out loud. "
"1","sdorosin","HIJKLMN","HIJKLMN","7","7","1","3","RUN","10.019","Just said it out loud. "
"1","sdorosin","XBFNQJT","ZBFJQBK","3","7","0.42857142857142855","0","RANDOM","10.016","Just said it out loud. "
"1","sdorosin","CDCDCDC","CDCDCD","6","7","0.8571428571428571","3","REPEAT","10.017","Just said it out loud. "
"1","sdorosin","MMNNOOP","MMNNOOP","7","7","1","2","GROUP","10.015","Just said it out loud. "
"1","sdorosin","GHGHGHG","GHGHGHG","7","7","1","3","REPEAT","5.562","Just said it out loud. "
"1","sdorosin","HXJKQTV","HXJKQTV","7","7","1","0","RANDOM","10.017","Just said it out loud. "
"1","sdorosin","ABCDEFG","ABCDEFG","7","7","1","3","RUN","10.016","Just said it out loud. "
"1","sdorosin","WGLDTXV","WGLXTWV","5","7","0.7142857142857143","0","RANDOM","10.016","Just said it out loud. "
"1","sdorosin","AABBCCD","AABBCCD","7","7","1","2","GROUP","10.017","Just said it out loud. "
"1","sdorosin","QQRRSSA","QQRRSSA","7","7","1","2","GROUP","10.016","Just said it out loud. "
"1","sdorosin","QZTRPNL","QZTPRNL","5","7","0.7142857142857143","0","RANDOM","10.014","Just said it out loud. "
"1","sdorosin","MNOPNM","MNOPNM","6","6","1","0","RANDOM","10.017","Just said it out loud. "
"1","sdorosin","EFEFEFE","EFEFEFE","7","7","1","3","REPEAT","10.016","Just said it out loud. "
