participant_number,netid,sequence,recall,correct_count,total_letters,accuracy,compressibility,pattern_type,rt_seconds
"2","ymangum","HRCMPZL","HRCMPZL","7","7","1","0","RANDOM","3.844"
"2","ymangum","ZPCMKHR","ZPCMKHR","7","7","1","0","RANDOM","3.498"
"2","ymangum","MMNNOOP","MMNNOOP","7","7","1","2","GROUP","2.011"
"2","ymangum","KVMPZRC","KVMPZRC","7","7","1","0","RANDOM","2.852"
"2","ymangum","CDEFGED","CDEFGED","7","7","1","0","RANDOM","4.09"
"2","ymangum","XYZYZYX","XYZYZYX","7","7","1","3","MIRROR","6.648"
"2","ymangum","FNBJQSK","FNBJQSK","7","7","1","0","RANDOM","3.547"
"2","ymangum","KLMNOPQ","KLMNOPQ","7","7","1","3","RUN","3.357"
"2","ymangum","ABCDEFG","ABCDEFG","7","7","1","3","RUN","2.366"
"2","ymangum","EEFFGGH","EEFFGGH","7","7","1","2","GROUP","2.078"
"2","ymangum","QQRRSSA","QQRRSSA","7","7","1","2","GROUP","2.11"
"2","ymangum","ABCDCBA","ABCDCBA","7","7","1","3","MIRROR","3.074"
"2","ymangum","RSTUVWX","RSTUVWX","7","7","1","3","RUN","3.871"
"2","ymangum","CDCDCDC","CDCDCDC","7","7","1","3","REPEAT","2.198"
"2","ymangum","XBFNQJT","XBFNQJT","7","7","1","0","RANDOM","4.906"
"2","ymangum","QZTRPNL","QZTRPNL","7","7","1","0","RANDOM","3.106"
"2","ymangum","RLVTXPW","RLVTXPW","7","7","1","0","RANDOM","4.604"
"2","ymangum","SPKFDLR","SPKFDLR","7","7","1","0","RANDOM","2.807"
"2","ymangum","HIJKLMN","HIJKLMN","7","7","1","3","RUN","1.93"
"2","ymangum","MWRQZTA","MWQ","2","7","0.2857142857142857","0","RANDOM","10.011"
"2","ymangum","CMFGLQT","CMFGLQT","7","7","1","0","RANDOM","2.809"
"2","ymangum","BDFHJLK","BDFHJLK","7","7","1","0","RANDOM","5.045"
"2","ymangum","NJQHZBM","NJQHZBM","7","7","1","0","RANDOM","5.531"
"2","ymangum","ABABABA","ABABABA","7","7","1","3","REPEAT","1.651"
"2","ymangum","AABBCCD","AABBCCD","7","7","1","2","GROUP","2.055"
"2","ymangum","EFEFEFE","EFEFEFE","7","7","1","3","REPEAT","1.352"
"2","ymangum","DLHGWXS","DLHWXZS","4","7","0.5714285714285714","0","RANDOM","4.201"
"2","ymangum","YTQBFNJ","YTQBNFJ","5","7","0.7142857142857143","0","RANDOM","4.284"
"2","ymangum","GHGHGHG","GHGHGHG","7","7","1","3","REPEAT","1.542"
"2","ymangum","WGLDTXV","WGLDTXV","7","7","1","0","RANDOM","3.744"
"2","ymangum","HXJKQTV","HXTJXWK","2","7","0.2857142857142857","0","RANDOM","7.531"
"2","ymangum","MNOPNM","MNOPNM","6","6","1","0","RANDOM","2.348"
