participant_number,netid,sequence,recall,correct_count,total_letters,accuracy,compressibility,pattern_type,rt_seconds
"3","ag3338","QQRRSSA","QQRRSSA","7","7","1","2","GROUP","3.182"
"3","ag3338","MMNNOOP","MMNNOOP","7","7","1","2","GROUP","3.494"
"3","ag3338","KVMPZRC","KVMPZRC","7","7","1","0","RANDOM","6.329"
"3","ag3338","CDEFGED","CGEFECG","3","7","0.42857142857142855","0","RANDOM","8.445"
"3","ag3338","RSTUVWX","RSTUVWX","7","7","1","3","RUN","5.163"
"3","ag3338","BDFHJLK","BFDHJLK","5","7","0.7142857142857143","0","RANDOM","6.895"
"3","ag3338","MWRQZTA","MWRQZTA","7","7","1","0","RANDOM","4.518"
"3","ag3338","HRCMPZL","HRCMPZL","7","7","1","0","RANDOM","4.088"
"3","ag3338","QZTRPNL","QZTRPNL","7","7","1","0","RANDOM","4.198"
"3","ag3338","MNOPNM","MNOPNM","6","6","1","0","RANDOM","3.459"
"3","ag3338","YTQBFNJ","YTQPFNQ","5","7","0.7142857142857143","0","RANDOM","7.858"
"3","ag3338","SPKFDLR","SPKLFDNR","3","7","0.42857142857142855","0","RANDOM","4.919"
"3","ag3338","FNBJQSK","FNBJQSK","7","7","1","0","RANDOM","4.907"
"3","ag3338","DLHGWXS","DLHQNSX","3","7","0.42857142857142855","0","RANDOM","7.794"
"3","ag3338","KLMNOPQ","KLMNOPQ","7","7","1","3","RUN","3.711"
"3","ag3338","WGLDTXV","WGLDTVQ","5","7","0.7142857142857143","0","RANDOM","6.017"
"3","ag3338","CDCDCDC","CDCDCDC","7","7","1","3","REPEAT","3.309"
"3","ag3338","ABABABA","ABABABA","7","7","1","3","REPEAT","2.744"
"3","ag3338","AABBCCD","AABBCCD","7","7","1","2","GROUP","2.476"
"3","ag3338","ABCDCBA","ABCDCBA","7","7","1","3","MIRROR","3.195"
"3","ag3338","ZPCMKHR","ZPCMNKR","5","7","0.7142857142857143","0","RANDOM","5.211"
"3","ag3338","EFEFEFE","EFEFEFE","7","7","1","3","REPEAT","2.533"
"3","ag3338","XYZYZYX","XYZYZYX","7","7","1","3","MIRROR","5.027"
"3","ag3338","EEFFGGH","EEFFGGH","7","7","1","2","GROUP","2.465"
"3","ag3338","ABCDEFG","ABCDEFG","7","7","1","3","RUN","4.011"
"3","ag3338","NJQHZBM","NJQEHMB","3","7","0.42857142857142855","0","RANDOM","5.004"
"3","ag3338","RLVTXPW","RLVWTQX","3","7","0.42857142857142855","0","RANDOM","7.243"
"3","ag3338","XBFNQJT","XBFNQJT","7","7","1","0","RANDOM","7.039"
"3","ag3338","HIJKLMN","HIJKLMN","7","7","1","3","RUN","3.216"
"3","ag3338","CMFGLQT","CMFGLFT","6","7","0.8571428571428571","0","RANDOM","5.392"
"3","ag3338","HXJKQTV","HJKQXLT","1","7","0.14285714285714285","0","RANDOM","5.418"
"3","ag3338","GHGHGHG","GHGHGHG","7","7","1","3","REPEAT","2.803"
