participant_number,netid,sequence,recall,correct_count,total_letters,accuracy,compressibility,pattern_type,rt_seconds
"3","ar4042","ABCDCBA","ABCDABC","5","7","0.7142857142857143","3","MIRROR","3.667"
"3","ar4042","CDEFGED","CDEFGEFD","6","7","0.8571428571428571","0","RANDOM","7.036"
"3","ar4042","HIJKLMN","HIJKLMN","7","7","1","3","RUN","5.217"
"3","ar4042","HXJKQTV","HXJKQTV","7","7","1","0","RANDOM","6.496"
"3","ar4042","MMNNOOP","MMNNOOP","7","7","1","2","GROUP","2.055"
"3","ar4042","FNBJQSK","FNBJQSK","7","7","1","0","RANDOM","5.963"
"3","ar4042","YTQBFNJ","YTQBNJB","4","7","0.5714285714285714","0","RANDOM","7.281"
"3","ar4042","NJQHZBM","NJQHZBM","7","7","1","0","RANDOM","5.868"
"3","ar4042","EFEFEFE","EFEFEFE","7","7","1","3","REPEAT","2.639"
"3","ar4042","RLVTXPW","RLVTXLP","5","7","0.7142857142857143","0","RANDOM","6.392"
"3","ar4042","SPKFDLR","SPKFDLR","7","7","1","0","RANDOM","5.427"
"3","ar4042","ABABABA","ABABABA","7","7","1","3","REPEAT","2.066"
"3","ar4042","GHGHGHG","GHGHGHG","7","7","1","3","REPEAT","2.787"
"3","ar4042","KVMPZRC","KVMP","4","7","0.5714285714285714","0","RANDOM","3.541"
"3","ar4042","CMFGLQT","CMFTKQT","5","7","0.7142857142857143","0","RANDOM","5.322"
"3","ar4042","AABBCCD","AABBCCD","7","7","1","2","GROUP","2.882"
"3","ar4042","MNOPNM","MNOPNM","6","6","1","0","RANDOM","3.55"
"3","ar4042","MWRQZTA","MWQRT","2","7","0.2857142857142857","0","RANDOM","3.814"
"3","ar4042","RSTUVWX","RSTUVWX","7","7","1","3","RUN","4.958"
"3","ar4042","WGLDTXV","WGDT","2","7","0.2857142857142857","0","RANDOM","4.691"
"3","ar4042","DLHGWXS","DLHGXLS","5","7","0.7142857142857143","0","RANDOM","6.306"
"3","ar4042","QZTRPNL","QZRTPNL","5","7","0.7142857142857143","0","RANDOM","6.124"
"3","ar4042","EEFFGGH","EEFFGGH","7","7","1","2","GROUP","3.081"
"3","ar4042","QQRRSSA","QQRRSSA","7","7","1","2","GROUP","2.924"
"3","ar4042","KLMNOPQ","KLMNOPQ","7","7","1","3","RUN","3.955"
"3","ar4042","CDCDCDC","CDCDCDC","7","7","1","3","REPEAT","4.297"
"3","ar4042","HRCMPZL","HRCMP","5","7","0.7142857142857143","0","RANDOM","7.293"
"3","ar4042","ABCDEFG","ABCDEFG","7","7","1","3","RUN","3.169"
"3","ar4042","XYZYZYX","XYZYZYZX","6","7","0.8571428571428571","3","MIRROR","5.751"
"3","ar4042","BDFHJLK","BDFHJKL","5","7","0.7142857142857143","0","RANDOM","4.845"
"3","ar4042","ZPCMKHR","CPZMH","2","7","0.2857142857142857","0","RANDOM","5.219"
"3","ar4042","XBFNQJT","XNQJLT","1","7","0.14285714285714285","0","RANDOM","5.399"
