rt,response,trial_type,trial_index,plugin_version,time_elapsed,participant_number,netid
"7159","[object Object]","survey","","4.0.0","7185","7","kr6550"
"2189","","html-button-response","1","2.1.0","9378","7","kr6550"
"1002","","html-button-response","2","2.1.0","10382","7","kr6550"
"","","html-keyboard-response","3","2.1.0","12888","7","kr6550"
"4182","[object Object]","survey-html-form","4","2.1.0","17076","7","kr6550"
"2097","","html-button-response","5","2.1.0","19174","7","kr6550"
"","","html-keyboard-response","6","2.1.0","21676","7","kr6550"
"4049","[object Object]","survey-html-form","7","2.1.0","25729","7","kr6550"
"","","html-keyboard-response","8","2.1.0","28233","7","kr6550"
"10004","[object Object]","survey-html-form","9","2.1.0","38242","7","kr6550"
"","","html-keyboard-response","10","2.1.0","40745","7","kr6550"
"6011","[object Object]","survey-html-form","11","2.1.0","46758","7","kr6550"
"","","html-keyboard-response","12","2.1.0","49262","7","kr6550"
"5644","[object Object]","survey-html-form","13","2.1.0","54911","7","kr6550"
"","","html-keyboard-response","14","2.1.0","57414","7","kr6550"
"10003","[object Object]","survey-html-form","15","2.1.0","67422","7","kr6550"
"","","html-keyboard-response","16","2.1.0","69925","7","kr6550"
"10004","[object Object]","survey-html-form","17","2.1.0","79934","7","kr6550"
"","","html-keyboard-response","18","2.1.0","82438","7","kr6550"
"10004","[object Object]","survey-html-form","19","2.1.0","92446","7","kr6550"
"","","html-keyboard-response","20","2.1.0","94950","7","kr6550"
"10004","[object Object]","survey-html-form","21","2.1.0","104958","7","kr6550"
"","","html-keyboard-response","22","2.1.0","107463","7","kr6550"
"10004","[object Object]","survey-html-form","23","2.1.0","117471","7","kr6550"
"","","html-keyboard-response","24","2.1.0","119976","7","kr6550"
"10004","[object Object]","survey-html-form","25","2.1.0","129984","7","kr6550"
"","","html-keyboard-response","26","2.1.0","132488","7","kr6550"
"10002","[object Object]","survey-html-form","27","2.1.0","142494","7","kr6550"
"","","html-keyboard-response","28","2.1.0","144996","7","kr6550"
"10004","[object Object]","survey-html-form","29","2.1.0","155005","7","kr6550"
"","","html-keyboard-response","30","2.1.0","157509","7","kr6550"
"10004","[object Object]","survey-html-form","31","2.1.0","167520","7","kr6550"
"","","html-keyboard-response","32","2.1.0","170024","7","kr6550"
"10002","[object Object]","survey-html-form","33","2.1.0","180029","7","kr6550"
"","","html-keyboard-response","34","2.1.0","182532","7","kr6550"
"10003","[object Object]","survey-html-form","35","2.1.0","192538","7","kr6550"
"","","html-keyboard-response","36","2.1.0","195042","7","kr6550"
"10003","[object Object]","survey-html-form","37","2.1.0","205049","7","kr6550"
"","","html-keyboard-response","38","2.1.0","207553","7","kr6550"
"10005","[object Object]","survey-html-form","39","2.1.0","217564","7","kr6550"
"","","html-keyboard-response","40","2.1.0","220068","7","kr6550"
"10004","[object Object]","survey-html-form","41","2.1.0","230077","7","kr6550"
"","","html-keyboard-response","42","2.1.0","232581","7","kr6550"
"10004","[object Object]","survey-html-form","43","2.1.0","242587","7","kr6550"
"","","html-keyboard-response","44","2.1.0","245091","7","kr6550"
"10002","[object Object]","survey-html-form","45","2.1.0","255098","7","kr6550"
"","","html-keyboard-response","46","2.1.0","257601","7","kr6550"
"10003","[object Object]","survey-html-form","47","2.1.0","267608","7","kr6550"
"","","html-keyboard-response","48","2.1.0","270111","7","kr6550"
"10003","[object Object]","survey-html-form","49","2.1.0","280119","7","kr6550"
"","","html-keyboard-response","50","2.1.0","282623","7","kr6550"
"10004","[object Object]","survey-html-form","51","2.1.0","292633","7","kr6550"
"","","html-keyboard-response","52","2.1.0","295136","7","kr6550"
"10003","[object Object]","survey-html-form","53","2.1.0","305144","7","kr6550"
"","","html-keyboard-response","54","2.1.0","307648","7","kr6550"
"10003","[object Object]","survey-html-form","55","2.1.0","317655","7","kr6550"
"","","html-keyboard-response","56","2.1.0","320159","7","kr6550"
"10005","[object Object]","survey-html-form","57","2.1.0","330169","7","kr6550"
"","","html-keyboard-response","58","2.1.0","332672","7","kr6550"
"10002","[object Object]","survey-html-form","59","2.1.0","342678","7","kr6550"
"","","html-keyboard-response","60","2.1.0","345180","7","kr6550"
"10004","[object Object]","survey-html-form","61","2.1.0","355189","7","kr6550"
"","","html-keyboard-response","62","2.1.0","357694","7","kr6550"
"10005","[object Object]","survey-html-form","63","2.1.0","367703","7","kr6550"
"","","html-keyboard-response","64","2.1.0","370208","7","kr6550"
"10003","[object Object]","survey-html-form","65","2.1.0","380215","7","kr6550"
"","","html-keyboard-response","66","2.1.0","382720","7","kr6550"
"10005","[object Object]","survey-html-form","67","2.1.0","392730","7","kr6550"
"","","html-keyboard-response","68","2.1.0","395235","7","kr6550"
"10004","[object Object]","survey-html-form","69","2.1.0","405243","7","kr6550"
"275376","[object Object]","survey","70","4.0.0","680640","7","kr6550"
"23444","","html-button-response","71","2.1.0","704089","7","kr6550"
